mpqa-posCount,mpqa-negCount,BingLiu-posCount,BingLiu-negCount,AFINN-posScore,AFINN-negScore,S140-posScore,S140-negScore,NRC-Hash-Sent-posScore,NRC-Hash-Sent-negScore,NRC-10-anger,NRC-10-anticipation,NRC-10-disgust,NRC-10-fear,NRC-10-joy,NRC-10-sadness,NRC-10-surprise,NRC-10-trust,NRC-10-negative,NRC-10-positive,NRC-10-Expanded-anger,NRC-10-Expanded-anticipation,NRC-10-Expanded-disgust,NRC-10-Expanded-fear,NRC-10-Expanded-joy,NRC-10-Expanded-sadness,NRC-10-Expanded-surprise,NRC-10-Expanded-trust,NRC-10-Expanded-negative,NRC-10-Expanded-positive,NRC-Hash-Emo-anger,NRC-Hash-Emo-anticipation,NRC-Hash-Emo-disgust,NRC-Hash-Emo-fear,NRC-Hash-Emo-joy,NRC-Hash-Emo-sadness,NRC-Hash-Emo-surprise,NRC-Hash-Emo-trust,SentiWordnet-posScore,SentiWordnet-negScore,Emoticons-posScore,Emoticons-negScore,Negation-negationCount
3,0,1,1,5,-2,2.803,-4.286,3.413,-1.139,0,0,0,0,1,0,0,0,0,1,0.831321,0.749455,0.503715,0.664087,1.182807,0.926933,0.585645,0.793147,2.834045,2.033719,0.571906,0.38118,0.618937,0,1.362849,0.903784,2.229063,0,1.82619,-1.280655,0,0,0
2,1,0,0,3,0,3.19,-2.56,4.084,-2.449,0,2,0,0,1,0,0,0,0,3,0.716329,0.717059,0.474693,0.589216,0.634546,0.368652,0.543203,0.691798,2.889507,1.701597,0.630454,0.129463,0.656969,0.307405,1.847923,0.155956,0.252248,0,1.855114,-0.407639,0,0,1
0,1,0,0,0,0,1.242,-0.893,3.236,-1.011,0,0,0,0,0,0,0,0,0,0,0.264083,0.339309,0.156546,0.203184,0.291043,0.094726,0.184145,0.234673,0.790889,0.876629,0,1.649495,0,2.287524,2.785946,0.159159,0.366427,0,0.5,-0.354167,0,0,0
6,1,5,0,12,0,13.546,-1.656,9.28,-1.888,0,1,0,0,3,0,1,3,0,4,0.783132,1.618424,0.570658,0.67717,2.667863,0.401166,0.857678,2.135602,3.211372,5.657986,0.30952,0,0.266388,0,4.944546,0.255162,1.544667,0.830975,3.911905,-0.395833,0,0,0
3,0,3,0,7,0,7.858,-4.249,6.331,-2.273,0,0,0,0,4,0,1,2,0,4,0.860186,0.72685,0.89826,0.897561,0.936897,0.575039,0.398514,0.995516,3.961327,2.510002,0.206028,0.061206,0.911117,0.282132,5.461397,1.902683,1.205361,0.460799,2.776365,-0.25,0,0,1
0,0,0,0,1,0,2.271,-0.584,4.038,-7.471,0,0,0,0,0,0,0,0,0,0,0.328324,0.881288,0.157482,0.227191,1.098822,0.170201,0.266752,0.868732,1.222192,2.016255,0,0,0,0.072489,4.392534,0.308582,0.816605,0.14142,0.229167,-0.125,0,0,0
4,1,4,1,13,0,7.765,-0.651,10.189,-0.564,0,2,0,0,3,1,1,2,1,3,0.330566,0.721023,0.211442,0.254371,1.328127,0.105857,0.445594,0.891844,1.031212,2.141077,0.311001,0.323454,0.314061,0.463079,7.810601,0.148301,1.166101,0.87675,5.854009,-0.112508,0,0,0
2,0,1,2,7,-2,4.878,-2.421,5.153,-1.655,0,0,0,0,0,0,0,0,0,0,0.877758,0.908527,0.575289,0.59763,1.670476,0.577768,0.507097,0.912574,2.524744,2.875193,0.597851,0,0.346988,0,2.01531,0.637008,0.967596,1.186548,1.1875,-0.336607,0,0,0
3,0,1,1,5,-2,2.803,-4.286,2.95,-1.139,0,0,0,0,1,0,0,0,0,1,0.831321,0.749455,0.503715,0.664087,1.182807,0.926933,0.585645,0.793147,2.834045,2.033719,0.571906,0,0.618937,0,1.362849,0.903784,1.546959,0,1.82619,-1.280655,0,0,0
1,0,1,0,2,0,2.845,-3.255,3.503,-2.795,0,1,0,0,1,0,1,0,0,1,0.774063,0.869525,0.613996,0.646982,1.056038,0.51218,0.39444,0.930922,3.216311,2.416267,0.596323,0.228671,0.088796,0.19385,2.195929,1.252557,0.792177,0.166457,0.840756,-0.583333,0,0,1
2,1,1,0,3,0,2.219,-1.263,1.851,-0.545,1,1,0,1,1,0,1,1,1,1,0.236329,0.19598,0.271934,0.278356,0.168248,0.146263,0.166538,0.12841,1.545157,0.46015,0.241108,0,0,0,1.539266,0,0.164104,0,1.753274,-0.957197,0,0,0
0,0,0,0,0,0,4.457,-0.224,3.015,-0.476,0,0,0,0,0,0,0,0,0,0,0.237113,0.847197,0.11055,0.159044,1.509395,0.170577,0.395703,0.353345,0.674405,1.829901,0,0,0,0.031683,4.32394,0,0.218759,0.706357,0.0625,0,0,0,0
0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
